age_band,actual,glm,gbm,exposure
18-22,0.21946894409816492,0.16331428461946843,0.20477333779467174,1294.0327442090002
23-25,0.15256256973327548,0.15474166679491494,0.14675367965530747,1894.3047466049998
26-30,0.11181021125611842,0.12390750466840715,0.10393100056945767,5786.591338406
31-40,0.08958634439845296,0.09587305279135964,0.0880500663916897,16866.409832279
41-50,0.10091671991675974,0.08973317416506561,0.10361233653674701,17598.669491685003
51-60,0.0979257666452405,0.09442518886899406,0.09652747339988131,15164.548115102
61-70,0.0945110435135201,0.10044946160561068,0.09336282701798392,7766.288178746
71+,0.09327194324768467,0.10400358610126098,0.0973975250239352,5339.226166625
